"species","wav_files","event_txt_files","total_files"
"Araucaria","8","8","16"
"Capsicum","6","6","13"
"Cyperus","10","10","20"
"Daucus","1","1","2"
"Dionaea","70","11","82"
"Drosera","10","10","21"
"Hedera","10","9","19"
"Impatiens","1","1","3"
"Liquidambar","1","0","1"
"Melissa","15","15","30"
"Mentha","21","21","43"
"Mimosa","33","30","64"
"Ocimum","38","38","76"
"Origanum","5","5","10"
"Peperomia","8","7","15"
"Plectranthus","26","26","52"
"Polypodiopsida","5","5","10"
"Rosa","2","1","3"
"Ruta","36","36","72"
"Salvia","33","31","64"
"Solanum","21","20","41"
"Trifolium","1","1","2"
